Blunt_AI+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
Bear_Claw,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedDefault,UnarmedArmor,UnarmedDefault,UnarmedDamned,UnarmedDryad,UnarmedGhost,UnarmedTurkey,UnarmedSkeleton,UnarmedSkeleton,UnarmedGhostCharred,UnarmedGhostFrozen,UnarmedGhostShipwrecked,UnarmedGhostHanged,UnarmedGhostPlagued,UnarmedBearElemental,UnarmedBear,UnarmedRegurgitator,SwordSprigganForest,SwordCorruptedEntity,UnarmedBlightFiend,UnarmedFrostWolf,UnarmedEarthWolf,UnarmedLost,UnarmedWithered,UnarmedDynasty,UnarmedDunePhantom,UnarmedDunePhantom,UnarmedAENaga,UnarmedAENaga,UnarmedSun,HolyShield_Proj,UnarmedRockNPC,UnarmedArmor,UnarmedDefault
Bear_Claw+Resist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,UnarmedResist,HolyShield_Proj,UnarmedResist,UnarmedResist,UnarmedResist
Regurgitator_Vomitball,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,HolyShield_Proj,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault,Regurgitator_VomitballDefault
Regurgitator_Vomitball+Resist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist,HolyShield_Proj,Regurgitator_VomitballResist,Regurgitator_VomitballResist,Regurgitator_VomitballResist
Regurgitator_Vomitspray,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,HolyShield_Proj,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault,Regurgitator_VomitsprayDefault
Regurgitator_Vomitspray+Resist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,HolyShield_Proj,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist,Regurgitator_VomitsprayResist
Impaler_spike,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault,HolyShield_Proj,Impaler_spikeDefault,Impaler_spikeDefault,Impaler_spikeDefault
Impaler_spike+Resist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist,HolyShield_Proj,Impaler_spikeResist,Impaler_spikeResist,Impaler_spikeResist
LifeStaff_Proj,LifeStaffDefault,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFleshHead,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffDefault,LifeStaffDefault,LifeStaffFlesh,LifeStaffDefault,LifeStaffDefault,LifeStaffDefault,LifeStaffDefault,LifeStaffDefault,LifeStaffDefault,LifeStaffDefault,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffDefault,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,LifeStaffFlesh,HolyShield_Proj,LifeStaffDefault,LifeStaffFlesh,LifeStaffDefault
LifeStaff_Proj_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect,LifeStaff_Protect
LifeStaff_Proj+Resist,LifeStaffResist,LifeStaffPlayerResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,LifeStaffResist,HolyShield_Proj,LifeStaffResist,LifeStaffResist,LifeStaffResist
LifeStaff_Proj+Crit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit,HolyShield_Proj,LifeStaffDefaultCrit,LifeStaffDefaultCrit,LifeStaffDefaultCrit
FireStaff_Proj,FireStaffDefault,FireStaffFlesh,FireStaffFlesh,FireStaffFleshHead,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffDefault,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,HolyShield_Proj,FireStaffDefault,FireStaffFlesh,FireStaffDefault
FireStaff_Proj+Resist,FireStaffResist,FireStaffPlayerResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,HolyShield_Proj,FireStaffResist,FireStaffResist,FireStaffResist
FireStaff_Proj+Crit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,HolyShield_Proj,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit
FlameThrower,FlameThrowerDefault,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFleshHead,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerDefault,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerDefault,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,FlameThrowerFlesh,HolyShield_Proj,FlameThrowerDefault,FlameThrowerFlesh,FlameThrowerDefault
FlameThrower+Resist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist,HolyShield_Proj,FlameThrowerResist,FlameThrowerResist,FlameThrowerResist
FlameThrower+Crit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,HolyShield_Proj,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit,FlameThrowerDefaultCrit
Burnout,FireStaffDefault,FireStaffFlesh,FireStaffFlesh,FireStaffFleshHead,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffDefault,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffDefault,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,FireStaffFlesh,HolyShield_Proj,FireStaffDefault,FireStaffFlesh,FireStaffDefault
Burnout+Resist,FireStaffResist,FireStaffPlayerResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,FireStaffResist,HolyShield_Proj,FireStaffResist,FireStaffResist,FireStaffResist
Burnout+Crit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit,HolyShield_Proj,FireStaffDefaultCrit,FireStaffDefaultCrit,FireStaffDefaultCrit
IceGauntlet_Proj,IceGauntletDefault,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletDefault,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,IceGauntletFlesh,HolyShield_Proj,IceGauntletDefault,IceGauntletFlesh,IceGauntletDefault
IceGauntlet_Proj_Heavy,IceGauntletDefault,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletDefault,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletDefault,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,IceGauntletHeavyFlesh,HolyShield_Proj,IceGauntletDefault,IceGauntletHeavyFlesh,IceGauntletDefault
IceGauntlet_Null,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull,IceGauntletNull
IceGauntlet_Proj+Resist,IceGauntletResist,IceGauntletPlayerResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,HolyShield_Proj,IceGauntletResist,IceGauntletResist,IceGauntletResist
IceGauntlet_Proj_Heavy+Resist,IceGauntletResist,IceGauntletPlayerResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,IceGauntletResist,HolyShield_Proj,IceGauntletResist,IceGauntletResist,IceGauntletResist
IceGauntlet_Proj+Crit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,HolyShield_Proj,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit
IceGauntlet_Proj_Heavy+Crit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit,HolyShield_Proj,IceGauntletDefaultCrit,IceGauntletDefaultCrit,IceGauntletDefaultCrit
VoidGauntlet_Proj,VoidGauntletDefault,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletDefault,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,VoidGauntletFlesh,HolyShield_Proj,VoidGauntletDefault,VoidGauntletFlesh,VoidGauntletDefault
VoidGauntlet_Proj_Heavy,VoidGauntletDefault,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletDefault,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletDefault,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,VoidGauntletHeavyFlesh,HolyShield_Proj,VoidGauntletDefault,VoidGauntletHeavyFlesh,VoidGauntletDefault
