LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,TriggerLimitOnVisit,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,IgnoreHWMGS,LootBiasingEnabled,LootBiasingChanceOverride,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
GatherableResearchBait_Probs,,,,,,,,,,100000,,,,95000,,,97000,,,98500,,,99500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSeaweed,AND,AddToRoll,,,,,,,,,,,,FiberT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSeaweed_Qty,,,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSeaweed_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageBoot,AND,AddToRoll,,,,,,,,,,,,LeatherT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageBoot_Qty,,,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageBoot_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageAnchor,AND,AddToRoll,,,,,,,,,,,,IngotT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageAnchor_Qty,,,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageAnchor_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageBigAnchor,AND,AddToRoll,,,,,,,,,,,,IngotT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageBigAnchor_Qty,,,,,,,,,,,,,,6-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageBigAnchor_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageOar,AND,AddToRoll,,,,,,,,,,,,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageOar_Qty,,,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageOar_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageTadpoles,AND,AddToRoll,,,,,,,,,,,,AlchemyLifeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageTadpoles_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageTadpoles_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonSmall,AND,AddToRoll,,,,,,,,,,,,FishT2,,,FishOilT1,,,FishRoeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonSmall_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonSmall_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonMedium,AND,AddToRoll,,,,,,,,,,,,FishT2,,,FishOilT1,,,FishRoeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonMedium_Qty,,,,,,,,,,,,,,2-3,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonMedium_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonLarge,AND,AddToRoll,,,,,,,,,,,,FishT2,,,FishOilT1,,,FishRoeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonLarge_Qty,,,,,,,,,,,,,,3-4,,,3-4,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSturgeonLarge_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishSmall,AND,AddToRoll,,,,,,,,,,,,PaddlefishGillsT1,,,FishT3,,,FishRoeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishSmall_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishSmall_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishMedium,AND,AddToRoll,,,,,,,,,,,,PaddlefishGillsT1,,,FishT3,,,FishRoeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishMedium_Qty,,,,,,,,,,,,,,2,,,2-3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishMedium_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishLarge,AND,AddToRoll,,,,,,,,,,,,PaddlefishGillsT1,,,FishT3,,,FishRoeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishLarge_Qty,,,,,,,,,,,,,,3-4,,,3-4,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvagePaddlefishLarge_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodSmall,AND,AddToRoll,,,,,,,,,,,,CodEyeT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodSmall_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodSmall_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodMedium,AND,AddToRoll,,,,,,,,,,,,CodEyeT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodMedium_Qty,,,,,,,,,,,,,,1-2,,,2-3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodMedium_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodLarge,AND,AddToRoll,,,,,,,,,,,,CodEyeT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodLarge_Qty,,,,,,,,,,,,,,2,,,3-4,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCodLarge_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutSmall,AND,AddToRoll,,,,,,,,,,,,HalibutVisceraT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutSmall_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutSmall_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutMedium,AND,AddToRoll,,,,,,,,,,,,HalibutVisceraT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutMedium_Qty,,,,,,,,,,,,,,1-2,,,2-3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutMedium_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutLarge,AND,AddToRoll,,,,,,,,,,,,HalibutVisceraT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutLarge_Qty,,,,,,,,,,,,,,2,,,3-4,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageHalibutLarge_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishSmall,AND,AddToRoll,,,,,,,,,,,,CatfishWhiskersT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishSmall_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishSmall_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishMedium,AND,AddToRoll,,,,,,,,,,,,CatfishWhiskersT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishMedium_Qty,,,,,,,,,,,,,,2,,,2-3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishMedium_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishLarge,AND,AddToRoll,,,,,,,,,,,,CatfishWhiskersT1,,,FishT2,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishLarge_Qty,,,,,,,,,,,,,,3-4,,,3-4,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageCatfishLarge_Probs,,,,,,,,,,100000,,,,0,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinSmall,AND,AddToRoll,,,,,,,,,,,,SculpinScalesT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinSmall_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinSmall_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinMedium,AND,AddToRoll,,,,,,,,,,,,SculpinScalesT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinMedium_Qty,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinMedium_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinLarge,AND,AddToRoll,,,,,,,,,,,,SculpinScalesT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinLarge_Qty,,,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSculpinLarge_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishSmall,AND,AddToRoll,,,,,,,,,,,,FishT4,,,FishOilT1,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishSmall_Qty,,,,,,,,,,,,,,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishSmall_Probs,,,,,,,,,,100000,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishMedium,AND,AddToRoll,,,,,,,,,,,,FishT4,,,FishOilT1,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishMedium_Qty,,,,,,,,,,,,,,2-3,,,10,,,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishMedium_Probs,,,,,,,,,,100000,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishLarge,AND,AddToRoll,,,,,,,,,,,,FishT4,,,FishOilT1,,,FishT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishLarge_Qty,,,,,,,,,,,,,,3-4,,,15,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageSwordfishLarge_Probs,,,,,,,,,,100000,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishSmall,AND,AddToRoll,,,,,,,,,,,,FrogfishTailT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishSmall_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishSmall_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishMedium,AND,AddToRoll,,,,,,,,,,,,FrogfishTailT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishMedium_Qty,,,,,,,,,,,,,,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishMedium_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishLarge,AND,AddToRoll,,,,,,,,,,,,FrogfishTailT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishLarge_Qty,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageFrogfishLarge_Probs,,,,,,,,,,100000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageMadtomSmall,AND,AddToRoll,,,,,,,,,,,,MadtomToxinT1,,,FishOilT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageMadtomSmall_Qty,,,,,,,,,,,,,,1-2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FishSalvageMadtomSmall_Probs,,,,,,,,,,100000,,,,0,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
