LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,TriggerLimitOnVisit,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,IgnoreHWMGS,LootBiasingEnabled,LootBiasingChanceOverride,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33
RewardFamilyGearCorruptedT3_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT3_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,,36,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT4,OR,AddToRoll,Level,,,TRUE,,,,,,TRUE,,[LBID]RewardFamilyGearBucket,100-120,,[LBID]RewardFamilyGearBucket,100-140,,[LBID]RewardFamilyGearBucket,100-160,,[LBID]RewardFamilyGearBucket,150-200,,[LBID]RewardFamilyGearBucket,200-215,,[LBID]RewardFamilyGearBucket,200-240,,[LBID]RewardFamilyGearBucket,200-295,,[LBID]RewardFamilyGearBucket,300-315,,[LBID]RewardFamilyGearBucket,300-325,,[LBID]RewardFamilyGearBucket,300-335,,[LBID]RewardFamilyGearBucket,300-345,,[LBID]RewardFamilyGearBucket,300-355,,[LBID]RewardFamilyGearBucket,300-365,,[LBID]RewardFamilyGearBucket,300-375,,[LBID]RewardFamilyGearBucket,300-385,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,400-415,,[LBID]RewardFamilyGearBucket,400-425,,[LBID]RewardFamilyGearBucket,400-435,,[LBID]RewardFamilyGearBucket,400-445,,[LBID]RewardFamilyGearBucket,400-455,,[LBID]RewardFamilyGearBucket,400-465,,[LBID]RewardFamilyGearBucket,400-475,,[LBID]RewardFamilyGearBucket,400-485,,[LBID]RewardFamilyGearBucket,400-495,,[LBID]RewardFamilyGearBucket,400-495,,,,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT4_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT4_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,,36,,,38,,,40,,,42,,,44,,,46,,,48,,,50,,,52,,,54,,,56,,,58,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT5,OR,AddToRoll,Level,,,TRUE,,,,,,TRUE,,[LBID]RewardFamilyGearBucket,100-120,,[LBID]RewardFamilyGearBucket,100-140,,[LBID]RewardFamilyGearBucket,100-160,,[LBID]RewardFamilyGearBucket,150-200,,[LBID]RewardFamilyGearBucket,200-215,,[LBID]RewardFamilyGearBucket,200-240,,[LBID]RewardFamilyGearBucket,200-295,,[LBID]RewardFamilyGearBucket,300-315,,[LBID]RewardFamilyGearBucket,300-325,,[LBID]RewardFamilyGearBucket,300-335,,[LBID]RewardFamilyGearBucket,300-345,,[LBID]RewardFamilyGearBucket,300-355,,[LBID]RewardFamilyGearBucket,300-365,,[LBID]RewardFamilyGearBucket,300-375,,[LBID]RewardFamilyGearBucket,300-385,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,400-415,,[LBID]RewardFamilyGearBucket,400-425,,[LBID]RewardFamilyGearBucket,400-435,,[LBID]RewardFamilyGearBucket,400-445,,[LBID]RewardFamilyGearBucket,400-455,,[LBID]RewardFamilyGearBucket,400-465,,[LBID]RewardFamilyGearBucket,400-475,,[LBID]RewardFamilyGearBucket,400-485,,[LBID]RewardFamilyGearBucket,400-495,,[LBID]RewardFamilyGearBucket,400-495,,[LBID]RewardFamilyGearBucket,500-515,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT5_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
RewardFamilyGearCorruptedT5_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,,36,,,38,,,40,,,42,,,44,,,46,,,48,,,50,,,52,,,54,,,56,,,58,,,59,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT2,OR,AddToRoll,Level,,,TRUE,,,,,,TRUE,,[LBID]RewardFamilyGearBucket,100-120,,[LBID]RewardFamilyGearBucket,100-140,,[LBID]RewardFamilyGearBucket,100-160,,[LBID]RewardFamilyGearBucket,150-200,,[LBID]RewardFamilyGearBucket,200-215,,[LBID]RewardFamilyGearBucket,200-240,,[LBID]RewardFamilyGearBucket,200-295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT2_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT2_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT3,OR,AddToRoll,Level,,,TRUE,,,,,,TRUE,,[LBID]RewardFamilyGearBucket,100-120,,[LBID]RewardFamilyGearBucket,100-140,,[LBID]RewardFamilyGearBucket,100-160,,[LBID]RewardFamilyGearBucket,150-200,,[LBID]RewardFamilyGearBucket,200-215,,[LBID]RewardFamilyGearBucket,200-240,,[LBID]RewardFamilyGearBucket,200-295,,[LBID]RewardFamilyGearBucket,300-315,,[LBID]RewardFamilyGearBucket,300-325,,[LBID]RewardFamilyGearBucket,300-335,,[LBID]RewardFamilyGearBucket,300-345,,[LBID]RewardFamilyGearBucket,300-355,,[LBID]RewardFamilyGearBucket,300-365,,[LBID]RewardFamilyGearBucket,300-375,,[LBID]RewardFamilyGearBucket,300-385,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,300-395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT3_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT3_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,,36,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT4,OR,AddToRoll,Level,,,TRUE,,,,,,TRUE,,[LBID]RewardFamilyGearBucket,100-120,,[LBID]RewardFamilyGearBucket,100-140,,[LBID]RewardFamilyGearBucket,100-160,,[LBID]RewardFamilyGearBucket,150-200,,[LBID]RewardFamilyGearBucket,200-215,,[LBID]RewardFamilyGearBucket,200-240,,[LBID]RewardFamilyGearBucket,200-295,,[LBID]RewardFamilyGearBucket,300-315,,[LBID]RewardFamilyGearBucket,300-325,,[LBID]RewardFamilyGearBucket,300-335,,[LBID]RewardFamilyGearBucket,300-345,,[LBID]RewardFamilyGearBucket,300-355,,[LBID]RewardFamilyGearBucket,300-365,,[LBID]RewardFamilyGearBucket,300-375,,[LBID]RewardFamilyGearBucket,300-385,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,400-415,,[LBID]RewardFamilyGearBucket,400-425,,[LBID]RewardFamilyGearBucket,400-435,,[LBID]RewardFamilyGearBucket,400-445,,[LBID]RewardFamilyGearBucket,400-455,,[LBID]RewardFamilyGearBucket,400-465,,[LBID]RewardFamilyGearBucket,400-475,,[LBID]RewardFamilyGearBucket,400-485,,[LBID]RewardFamilyGearBucket,400-495,,[LBID]RewardFamilyGearBucket,400-495,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT4_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT4_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,,36,,,38,,,40,,,42,,,44,,,46,,,48,,,50,,,52,,,54,,,56,,,58,,,,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT5,OR,AddToRoll,Level,,,TRUE,,,,,,TRUE,,[LBID]RewardFamilyGearBucket,100-120,,[LBID]RewardFamilyGearBucket,100-140,,[LBID]RewardFamilyGearBucket,100-160,,[LBID]RewardFamilyGearBucket,150-200,,[LBID]RewardFamilyGearBucket,200-215,,[LBID]RewardFamilyGearBucket,200-240,,[LBID]RewardFamilyGearBucket,200-295,,[LBID]RewardFamilyGearBucket,300-315,,[LBID]RewardFamilyGearBucket,300-325,,[LBID]RewardFamilyGearBucket,300-335,,[LBID]RewardFamilyGearBucket,300-345,,[LBID]RewardFamilyGearBucket,300-355,,[LBID]RewardFamilyGearBucket,300-365,,[LBID]RewardFamilyGearBucket,300-375,,[LBID]RewardFamilyGearBucket,300-385,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,300-395,,[LBID]RewardFamilyGearBucket,400-415,,[LBID]RewardFamilyGearBucket,400-425,,[LBID]RewardFamilyGearBucket,400-435,,[LBID]RewardFamilyGearBucket,400-445,,[LBID]RewardFamilyGearBucket,400-455,,[LBID]RewardFamilyGearBucket,400-465,,[LBID]RewardFamilyGearBucket,400-475,,[LBID]RewardFamilyGearBucket,400-485,,[LBID]RewardFamilyGearBucket,400-495,,[LBID]RewardFamilyGearBucket,400-495,,[LBID]RewardFamilyGearBucket,500-515,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT5_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,
RewardFamilyGearAngryEarthT5_Probs,,,,,,,,,,0,,,,0,,,3,,,6,,,9,,,12,,,15,,,18,,,20,,,22,,,24,,,26,,,28,,,30,,,32,,,34,,,36,,,38,,,40,,,42,,,44,,,46,,,48,,,50,,,52,,,54,,,56,,,58,,,59,,,,,,,,,,,,,,,,,
ArmorCase,OR,AddToRoll,,,,TRUE,,,10,,,TRUE,,[LTID]ProcArmor,,,[LBID]ProcShields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArmorCase_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArmorCase_Probs,,,,,,,,,,100000,,,,0,,,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeaponCase,OR,AddToRoll,,,,TRUE,,,10,,,TRUE,,[LBID]ProcWeapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeaponCase_Qty,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeaponCase_Probs,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot25,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor1Containers25,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot25_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot25_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot25,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor2Containers25,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot25_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot25_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot25,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor1Containers25,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot25_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot25_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot25,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor2Containers25,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot25_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot25_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot35,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor1Containers35,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot35_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot35_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot35,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor2Containers35,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot35_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot35_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot35,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor1Containers35,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot35_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot35_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot35,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor2Containers35,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot35_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot35_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot45,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor1Containers45,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot45_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot45_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot45,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor2Containers45,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot45_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot45_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot45,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor1Containers45,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot45_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot45_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot45,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor2Containers45,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot45_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor2EventLoot45_Probs,,,,,,,,,,0,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot55,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor1Containers55,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot55_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor1EventLoot55_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot55,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMinor2Containers55,,,[LTID]PvPResourceDarknessMinor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot55_Qty,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMinor2EventLoot55_Probs,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot55,AND,AddToRoll,,,,,,,,,,,,[LBID]DarknessMajor1Containers55,,,[LBID]EventDropDarkness,,,[LTID]PvPResourceDarknessMajor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarknessMajor1EventLoot55_Qty,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
