LootTableID,AND/OR,RollBonusSetting,Conditions,ConditionOverridesRoll,UseLevelGS,HWMMult,ChanceToExceedIndex,GSBonus,MaxRoll,Item1,GearScoreRange1,PerkBucketOverrides1,Item2,GearScoreRange2,PerkBucketOverrides2,Item3,GearScoreRange3,PerkOverrides3,Item4,GearScoreRange4,PerkOverrides4,Item5,GearScoreRange5,PerkOverrides5,Item6,GearScoreRange6,PerkOverrides6,Item7,GearScoreRange7,PerkOverrides7,Item8,GearScoreRange8,PerkOverrides8,Item9,GearScoreRange9,PerkOverrides9,Item10,GearScoreRange10,PerkOverrides10,Item11,GearScoreRange11,PerkOverrides11,Item12,GearScoreRange12,PerkOverrides12,Item13,GearScoreRange13,PerkOverrides13,Item14,GearScoreRange14,PerkOverrides14,Item15,GearScoreRange15,PerkOverrides15,Item16,GearScoreRange16,PerkOverrides16,Item17,GearScoreRange17,PerkOverrides17,Item18,GearScoreRange18,PerkOverrides18,Item19,GearScoreRange19,PerkOverrides19,Item20,GearScoreRange20,PerkOverrides20,Item21,GearScoreRange21,PerkOverrides21,Item22,GearScoreRange22,PerkOverrides22,Item23,GearScoreRange23,PerkOverrides23,Item24,GearScoreRange24,PerkOverrides24,Item25,GearScoreRange25,PerkOverrides25,Item26,GearScoreRange26,PerkOverrides26,Item27,GearScoreRange27,PerkOverrides27,Item28,GearScoreRange28,PerkOverrides28,Item29,GearScoreRange29,PerkOverrides29,Item30,GearScoreRange30,PerkOverrides30,Item31,GearScoreRange31,PerkOverrides31,Item32,GearScoreRange32,PerkOverrides32,Item33,GearScoreRange33,PerkOverrides33,Item34,GearScoreRange34,PerkOverrides34,Item35,GearScoreRange35,PerkOverrides35,Item36,GearScoreRange36,PerkOverrides36,Item37,GearScoreRange37,PerkOverrides37,Item38,GearScoreRange38,PerkOverrides38,Item39,GearScoreRange39,PerkOverrides39,Item40,GearScoreRange40,PerkOverrides40,Item41,GearScoreRange41,PerkOverrides41,Item42,GearScoreRange42,PerkOverrides42,Item43,GearScoreRange43,PerkOverrides43,Item44,GearScoreRange44,PerkOverrides44,Item45,GearScoreRange45,PerkOverrides45,Item46,GearScoreRange46,PerkOverrides46,Item47,GearScoreRange47,PerkOverrides47,Item48,GearScoreRange48,PerkOverrides48,Item49,GearScoreRange49,PerkOverrides49,Item50,GearScoreRange50,PerkOverrides50,Item51,GearScoreRange51,PerkOverrides51,Item52,GearScoreRange52,PerkOverrides52,Item53,GearScoreRange53,PerkOverrides53,Item54,GearScoreRange54,PerkOverrides54,Item55,GearScoreRange55,PerkOverrides55,Item56,GearScoreRange56,PerkOverrides56,Item57,GearScoreRange57,PerkOverrides57,Item58,GearScoreRange58,PerkOverrides58
PlaytestPerksArmor1_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksArmor1_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksArmor2,AND,AddToRoll,,,,,,,,ConsecratedIronT2,,,FangT2,,,SapT2,,,TravelersStoneT2,,,VerbenaT2,,,WolfPawT3,,,WrithingVinesT1,,,WyrdwoodSapT3,,,SmolderingArmorShardT5,,,FrozenArmorShardT5,,,EvergreenArmorShardT5,,,HollowArmorShardT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksArmor2_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksArmor2_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksAccessory1,AND,AddToRoll,,,,,,,,AdamantT3,,,AncientEssenceT1,,,AzaleaNectarT1,,,AzaleaNectarT3,,,AzothOilT3,,,BearPawT1,,,ChefCharmT3,,,ClawT1,,,CobaltT3,,,ConsecratedIronT1,,,CorruptedClothT1,,,CorruptedClothT2,,,CorruptedClothT3,,,CorruptedEssenceT1,,,CorruptedEssenceT2,,,CorruptedEssenceT3,,,CorruptedIchorT1,,,CorruptedIchorT2,,,CorruptedIchorT3,,,CorruptedSigilT1,,,CorruptedSigilT2,,,CorruptedSigilT3,,,CrystalT2,,,CrystalT3,,,CrystalizedAzothT2,,,CrystalizedEctoplasmT1,,,CrystalizedEctoplasmT2,,,CrystalizedEctoplasmT3,,,CrystalizedEctoplasmT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksAccessory1_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksAccessory1_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksAccessory2,AND,AddToRoll,,,,,,,,ElkHoofT2,,,EnchantedEarthT2,,,EngineerCharmT3,,,FangT3,,,FrozenFangT2,,,HornT1,,,HornT3,,,IronwoodResinT2,,,IronwoodSapT3,,,MangyHideT1,,,NiterT1,,,NiterT2,,,SapT3,,,SparkmetalT2,,,TallowT3,,,ThunderstoneT2,,,VerbenaT3,,,ViscousAzothT2,,,WeaponsmithCharmT3,,,WrithingVinesT2,,,WrithingVinesT3,,,WyrdwoodResinT1,,,PerkItem_Amulet_PotionHeal,,,PerkItem_Amulet_LowCooldown,,,PerkItem_Earring_OnPotionDmg,,,PerkItem_Earring_OnPotionFort,,,PerkItem_Earring_OnHeartHeal,,,PerkItem_Ring_OnHealHot,,,PerkItem_Ring_OnRemoveHeal,,,PerkItem_Ring_OnHeartRemoveBuffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksAccessory2_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksAccessory2_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksTool1,AND,AddToRoll,,,,,,,,AdderStoneT1,,,ArcanistCharmT1,,,ArmorerCharmT1,,,ArmorScrapsT1,,,AzothOilT1,,,AzothOilT2,,,BotanistCharmT1,,,BotanistCharmT2,,,BotanistCharmT3,,,ChefCharmT1,,,CobaltT1,,,ElkHoofT1,,,EnchantedEarthT1,,,FangT1,,,JewelcrafterCharmT1,,,JewelcrafterCharmT3,,,PerkItem_Bags_BonusTown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksTool1_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksTool1_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksTool2,AND,AddToRoll,,,,,,,,LumberjackCharmT1,,,LumberjackCharmT2,,,LumberjackCharmT3,,,MinerCharmT1,,,MinerCharmT2,,,MinerCharmT3,,,SapT1,,,SkinnerCharmT1,,,SkinnerCharmT2,,,SkinnerCharmT3,,,TravelersStoneT1,,,VerbenaT1,,,ViscousAzothT1,,,WeaponsmithCharmT1,,,WolfPawT1,,,WrithingBriarT1,,,WyrdwoodSapT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksTool2_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksTool2_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill1,AND,AddToRoll,,,,,,,,SwordCharmT1,,,SwordCharmT2,,,SwordCharmT3,,,ShieldCharmT1,,,ShieldCharmT2,,,ShieldCharmT3,,,HatchetCharmT1,,,HatchetCharmT2,,,HatchetCharmT3,,,HatchetCharmT4,,,HatchetCharmT5,,,HatchetCharmT6,,,2HHammerCharmT1,,,2HHammerCharmT2,,,2HHammerCharmT3,,,2HHammerCharmT4,,,2HHammerCharmT5,,,2HHammerCharmT6,,,2HAxeCharmT1,,,2HAxeCharmT2,,,2HAxeCharmT3,,,2HAxeCharmT4,,,2HAxeCharmT5,,,2HAxeCharmT6,,,BowCharmT1,,,BowCharmT2,,,BowCharmT3,,,BowCharmT4,,,BowCharmT5,,,BowCharmT6,,,MusketCharmT1,,,MusketCharmT2,,,MusketCharmT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill1_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill1_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill2,AND,AddToRoll,,,,,,,,MusketCharmT4,,,MusketCharmT5,,,MusketCharmT6,,,LifeStaffCharmT1,,,LifeStaffCharmT2,,,LifeStaffCharmT3,,,LifeStaffCharmT4,,,LifeStaffCharmT5,,,LifeStaffCharmT6,,,FireStaffCharmT1,,,FireStaffCharmT2,,,FireStaffCharmT3,,,FireStaffCharmT4,,,FireStaffCharmT5,,,FireStaffCharmT6,,,RapierCharmT1,,,RapierCharmT2,,,RapierCharmT3,,,RapierCharmT4,,,RapierCharmT5,,,RapierCharmT6,,,SpearCharmT1,,,SpearCharmT2,,,SpearCharmT3,,,SpearCharmT4,,,SpearCharmT5,,,SpearCharmT6,,,IceGauntletCharmT1,,,IceGauntletCharmT2,,,IceGauntletCharmT3,,,IceGauntletCharmT4,,,IceGauntletCharmT5,,,IceGauntletCharmT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill2_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill2_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill3,AND,AddToRoll,,,,,,,,BlunderbussCharmT1,,,BlunderbussCharmT2,,,BlunderbussCharmT3,,,BlunderbussCharmT4,,,BlunderbussCharmT5,,,BlunderbussCharmT6,,,VoidGauntletCharmT1,,,VoidGauntletCharmT2,,,VoidGauntletCharmT3,,,VoidGauntletCharmT4,,,VoidGauntletCharmT5,,,VoidGauntletCharmT6,,,GreatswordCharmT1,,,GreatswordCharmT2,,,GreatswordCharmT3,,,GreatswordCharmT4,,,GreatswordCharmT5,,,GreatswordCharmT6,,,FlailCharmT1,,,FlailCharmT2,,,FlailCharmT3,,,FlailCharmT4,,,FlailCharmT5,,,FlailCharmT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill3_Qty,,,,,,,,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestPerksSkill3_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestFastMasterChestT5650,AND,AddToRoll,,,,,,,,Playtest_Box_BruiserLoadout_T5_650,,,Playtest_Box_RangerLoadout_T5_650,,,Playtest_Box_MageLoadout_T5_650,,,Playtest_Box_HealerLoadout_T5_650,,,Playtest_Box_TankLoadout_T5_650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestFastMasterChestT5650_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestFastMasterChestT5650_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestBruiserLoadoutT5650,AND,AddToRoll,,,,,,,,Playtest_Bruiser_Amulet_T5_650,,,Playtest_Bruiser_Earring_T5_650,,,Playtest_Bruiser_Ring_T5_650,,,Playtest_Bruiser_Hatchet_T5_650,,,Playtest_Bruiser_Greatsword_T5_650,,,Playtest_Bruiser_HeavyHead_T5_650,,,Playtest_Bruiser_MediumChest_T5_650,,,Playtest_Bruiser_LightHands_T5_650,,,Playtest_Bruiser_HeavyLegs_T5_650,,,Playtest_Bruiser_MediumFeet_T5_650,,,runedetonatet3c,,,Playtest_Bruiser_Flail_T5_650,,,Playtest_Bruiser_ShieldKite_T5_650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestBruiserLoadoutT5650_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestBruiserLoadoutT5650_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestRangerLoadoutT5650,AND,AddToRoll,,,,,,,,Playtest_Ranger_Amulet_T5_650,,,Playtest_Ranger_Earring_T5_650,,,Playtest_Ranger_Ring_T5_650,,,Playtest_Ranger_Bow_T5_650,,,Playtest_Ranger_Musket_T5_650,,,Playtest_Ranger_Spear_T5_650,,,Playtest_Ranger_LightHead_T5_650,,,Playtest_Ranger_MediumChest_T5_650,,,Playtest_Ranger_LightHands_T5_650,,,Playtest_Ranger_LightLegs_T5_650,,,Playtest_Ranger_LightFeet_T5_650,,,runecannonblastt3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestRangerLoadoutT5650_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestRangerLoadoutT5650_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestMageLoadoutT5650,AND,AddToRoll,,,,,,,,Playtest_Mage_Amulet_T5_650,,,Playtest_Mage_Earring_T5_650,,,Playtest_Mage_Ring_T5_650,,,Playtest_Mage_GauntletIce_T5_650,,,Playtest_Mage_StaffFire_T5_650,,,Playtest_Mage_LightHead_T5_650,,,Playtest_Mage_MediumChest_T5_650,,,Playtest_Mage_LightHands_T5_650,,,Playtest_Mage_LightLegs_T5_650,,,Playtest_Mage_LightFeet_T5_650,,,runebilebombt3a,,,PotionManaT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestMageLoadoutT5650_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestMageLoadoutT5650_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHealerLoadoutT5650,AND,AddToRoll,,,,,,,,Playtest_Healer_Amulet_T5_650,,,Playtest_Healer_Earring_T5_650,,,Playtest_Healer_Ring_T5_650,,,Playtest_Healer_StaffLife_T5_650,,,Playtest_Healer_GauntletVoid_T5_650,,,Playtest_Healer_LightHead_T5_650,,,Playtest_Healer_MediumChest_T5_650,,,Playtest_Healer_LightHands_T5_650,,,Playtest_Healer_LightLegs_T5_650,,,Playtest_Healer_LightFeet_T5_650,,,runestoneformt3b,,,PotionManaT5,,,Playtest_Healer_Flail_T5_650,,,Playtest_Healer_ShieldKite_T5_650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHealerLoadoutT5650_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,50,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestHealerLoadoutT5650_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTankLoadoutT5650,AND,AddToRoll,,,,,,,,Playtest_Tank_Amulet_T5_650,,,Playtest_Tank_Earring_T5_650,,,Playtest_Tank_Ring_T5_650,,,Playtest_Tank_Longsword_T5_650,,,Playtest_Tank_ShieldTower_T5_650,,,Playtest_Tank_Warhammer_T5_650,,,Playtest_Tank_HeavyHead_T5_650,,,Playtest_Tank_HeavyChest_T5_650,,,Playtest_Tank_HeavyHands_T5_650,,,Playtest_Tank_HeavyLeg_T5_650,,,Playtest_Tank_HeavyFeet_T5_650,,,runestoneformt3b,,,Playtest_Tank_Flail_T5_650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTankLoadoutT5650_Qty,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlaytestTankLoadoutT5650_Probs,,,,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
